objectid,old file,filename,youtubeid,vimeoid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
col003_2,col003_d1.pdf,col003_d1.pdf,,,About the Willett Family Album,,1921,,"Document describing the purpose of the trip made by the Willett Family from New England to Meridian, Idaho.",newspaper articles,"Meridian, ID",43.6094542,-116.3931117,"Meridian Library History Center, Willett Album",,Text,application/pdf,eng,,,pdf,,,
col003_5,col003_p5.jpg,col003_p1.jpg,,,Album Cover Page,Willett Family,1921,,The album cover from 1921.,album covers,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_6,col003_p6.jpg,col003_p2.jpg,,,Frowning Man with Pocket Watch,Willett Family,1921,,Man  in front of house dressed in vest and hat holding pocket watch.,men;pocket watches;hats,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_7,col003_p7.jpg,col003_p3.jpg,,,Note Describing Album,,2014,yes,Handwritten note describing the automobile trip and a business card with the names Kevin and Mary Ann Sleeman.,notes,,,,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_9,col003_p9.jpg,col003_p5.jpg,,,Willett's Auto Bungalow,Willett Family,1921,,"Image of the Willett's auto bungalow as it looked before leaving Bridgewater, MA.",auto bungalows,"Bridgewater, MA",41.9903787,-70.9750426,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_10,col003_p10.jpg,col003_p6.jpg,,,Auto Bungalow with Willett Family,Willett Family,1921,,"Auto bungalow before leaving Bridgewater, MA with four passengers.",men;women;auto bungalows,"Bridgewater, MA",41.9903787,-70.9750426,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_12,col003_p12.jpg,col003_p8.jpg,,,Willett's Family Photo,Willett Family,1921,,"Seven members of the Willett's family in Coggon, Iowa.",men;women;auto bungalows;families,"Coggon, IA",42.2808248,-91.5304412,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_13,col003_p13.jpg,col003_p9.jpg,,,Mrs. Lowell and Tourist Campground,Willett Family,1921,,"Left: Mrs. Lowell and friends.<br>Right: Tourist campground, Boise, Idaho.",men;women;auto bungalows;campgrounds,"Boise, ID",43.6007205,-116.3739846,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_14,col003_p14.jpg,col003_p10.jpg,,,The Patton Home,Willett Family,1921,,"The Patton home in Coggon, Iowa.",houses,"Coggon, IA",42.2808248,-91.5304412,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
col003_15,col003_p15.jpg,col003_p11.jpg,,,The Lowell Home,Willett Family,1921,,"Mr. Lowell's home in Fredonia, New York.",houses,"Fredonia, NY",42.440058,-79.331711,"Meridian Library History Center, Willett Album",,Image;StillImage,image/jpeg,eng,,,image,,,
