object_location,image_small,image_thumb
/objects/col003_d1.pdf,/objects/small/col003_d1_sm.jpg,/objects/thumbs/col003_d1_th.jpg
/objects/col003_p1.jpg,/objects/small/col003_p1_sm.jpg,/objects/thumbs/col003_p1_th.jpg
/objects/col003_p10.jpg,/objects/small/col003_p10_sm.jpg,/objects/thumbs/col003_p10_th.jpg
/objects/col003_p100.jpg,/objects/small/col003_p100_sm.jpg,/objects/thumbs/col003_p100_th.jpg
/objects/col003_p101.jpg,/objects/small/col003_p101_sm.jpg,/objects/thumbs/col003_p101_th.jpg
/objects/col003_p102.jpg,/objects/small/col003_p102_sm.jpg,/objects/thumbs/col003_p102_th.jpg
/objects/col003_p108.jpg,/objects/small/col003_p108_sm.jpg,/objects/thumbs/col003_p108_th.jpg
/objects/col003_p109.jpg,/objects/small/col003_p109_sm.jpg,/objects/thumbs/col003_p109_th.jpg
/objects/col003_p11.jpg,/objects/small/col003_p11_sm.jpg,/objects/thumbs/col003_p11_th.jpg
/objects/col003_p110.jpg,/objects/small/col003_p110_sm.jpg,/objects/thumbs/col003_p110_th.jpg
/objects/col003_p111.jpg,/objects/small/col003_p111_sm.jpg,/objects/thumbs/col003_p111_th.jpg
/objects/col003_p112.jpg,/objects/small/col003_p112_sm.jpg,/objects/thumbs/col003_p112_th.jpg
/objects/col003_p113.jpg,/objects/small/col003_p113_sm.jpg,/objects/thumbs/col003_p113_th.jpg
/objects/col003_p114.jpg,/objects/small/col003_p114_sm.jpg,/objects/thumbs/col003_p114_th.jpg
/objects/col003_p115.jpg,/objects/small/col003_p115_sm.jpg,/objects/thumbs/col003_p115_th.jpg
/objects/col003_p12.jpg,/objects/small/col003_p12_sm.jpg,/objects/thumbs/col003_p12_th.jpg
/objects/col003_p13.jpg,/objects/small/col003_p13_sm.jpg,/objects/thumbs/col003_p13_th.jpg
/objects/col003_p14.jpg,/objects/small/col003_p14_sm.jpg,/objects/thumbs/col003_p14_th.jpg
/objects/col003_p15.jpg,/objects/small/col003_p15_sm.jpg,/objects/thumbs/col003_p15_th.jpg
/objects/col003_p16.jpg,/objects/small/col003_p16_sm.jpg,/objects/thumbs/col003_p16_th.jpg
